test_match_cond,speaker_identity,trial_sequence_total,list_number,phase,condition,Answer.time_in_minutes,wrong_attempts,block_sequence,workerid,item_number,island_tested,response,Answer.condition,comp_question_exist,first_response_value,comp_answer
mismatch,Emily,48,2,test,CNPC,15.5312,,101,2,8,CNPC,0.26,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,49,2,test,CNPC,15.5312,,102,2,14,CNPC,0.19,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,50,2,test,UNGRAM,15.5312,,102,2,144,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,51,2,test,FILL,15.5312,,102,2,135,CNPC,1,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,52,2,test,FILL,15.5312,,103,2,132,CNPC,1,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,53,2,test,UNGRAM,15.5312,,103,2,141,CNPC,0,undefined,1,,Iron-Head
,,,,,,,,,,,,,,,,
mismatch,Emily,54,2,test,CNPC,15.5312,,103,2,5,CNPC,0.26,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,55,2,test,CNPC,15.5312,,104,2,11,CNPC,0.13,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,56,2,test,FILL,15.5312,,104,2,134,CNPC,0.96,undefined,1,,Thomas
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,57,2,test,UNGRAM,15.5312,,104,2,143,CNPC,0,undefined,1,,Iron-Head
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,58,2,test,UNGRAM,15.5312,,105,2,145,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,59,2,test,CNPC,15.5312,,105,2,17,CNPC,0.21,undefined,0,,/
,,,,,,,,,,,,,,,,
